PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Fenger Academy Chimney Reduction,CPS,Schools,11220 S. Wallace Street,107th Halsted,T-176,107th Halsted,T-176,The intent of this includes reducing the height of the existing masonry chimney.  The top section of the chimney will be removed and the lower remaining section will be repaired and capped.,500000,500000,1,08/06/2019,Referred Back to Department,POINT (-87.63803 41.68876)
Complete Streets - Southwest Side,CDOT,Public Infrastructure,,Sanitary & Ship Canal,T-042,Sanitary & Ship Canal,T-042,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",1450000,10810000,0.13,11/19/2024,Approved,POINT (-87.63245 41.88425)
CPS Environmental Conditions Assessment (Parkman),DPD,Economic Development,245 W 51st St,47th Halsted,T-121,47th Halsted,T-121,"Environmental and real estate reports (Phase I, II, HMBS, appraisal, title report)",76674,76674,1,08/18/2020,Approved,POINT (-87.63257 41.8018)
Pulaski Streetscape: Rosemont to Devon Additional Funding,CDOT,Public Infrastructure,6300-6400 North Pulaski Rd,Peterson Pulaski,T-091,Peterson Pulaski,T-091,"Streetscape including full width resurfacing, pedestrian improvements, sidewalks, curb and gutter replacement, parkway upgrades, and lighting improvements.",300000,300000,1,05/24/2022,Approved,POINT (-87.7289 41.99556)
TIF Works Funding Requests 2024,DPD,Economic Development,,47th King,T-118,47th King,T-118,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,400000,400000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
West Side Infrastructure Improvements,CDOT,Public Infrastructure,,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"CDOT is requesting funding for the design and construction of viaduct improvements, pavement reconstruction, resurfacing, street lighting, sidewalk repair, curb and gutter repair, viaduct lighting  and structural assessments in the Kinzie Industrial TIF.",7000000,7000000,1,11/22/2019,Under Further Review,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Cicero Archer,T-096,Cicero Archer,T-096,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",54608,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Chicago Central City Framework Plan,DPD,"Plans, Studies, and Administration",,Chicago Kingsbury,T-094,Chicago Kingsbury,T-094,"Chicago Central City Framework Plan, to be aligned with We Will pillars and engagement.",12300,550000,0.5,06/28/2022,Approved,POINT (-87.63245 41.88425)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,47th Halsted,T-121,47th Halsted,T-121,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",2500000,2500000,1,08/06/2019,Approved,POINT (-87.63245 41.88425)
Lawrence & Claremont Pedestrian Improvements,CDOT,Public Infrastructure,4799-4805 North Claremont Av,Western Av North,T-084,Western Av North,T-084,"Install crosswalk, concrete curb extensions (bump-outs), and a pedestrian refuge median at the east leg of Lawrence and Claremont.",200000,200000,1,04/25/2023,Approved,POINT (-87.68754 41.96909)
Bus Priority Zone Program:  Pulaski Slow Zone Improvement at Ainslie,CDOT,Transit Facilities,4900 North Pulaski Rd,Lawrence Pulaski,T-116,Lawrence Pulaski,T-116,"For this project, the extents are on Pulaski Road at Ainslie Street (mid-block north to mid-block south). Proposed elements include adding a traffic signal at Ainslie Street. If the traffic signal is determined not feasible, add a bus bypass lane.",50000,50000,1,12/03/2019,Approved,POINT (-87.72809 41.97022)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,South Chicago,T-093,South Chicago,T-093,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
Corridor Manager Program 2025,DPD,Economic Development,,Englewood Neighborhood,T-106,Englewood Neighborhood,T-106,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,100000,100000,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
City Hall Concessions Space Phase II Cafe Buildout,AIS,Municipal Facilities,121 North La Salle St,LaSalle Central,T-147,LaSalle Central,T-147,The project consists of a Concession Space incorporated into City Hallâ€™s First Floor Area located in the North-West Zone of the building along the North-South Corridor to service the employees & public throughout the day.,2500000,3220763,0.78,02/28/2023,Approved,POINT (-87.63245 41.88376)
Q1 2024 Arterial Resurfacing,CDOT,Public Infrastructure,,Bronzeville,T-061,Bronzeville,T-061,2024 arterial resurfacing with Complete Streets upgrades,400000,400000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
6201-6399 N Western Ave Alley Resurfacing,CDOT,Public Infrastructure,6201-6399 North Western Av,Devon Western,T-076,Devon Western,T-076,Resurfacing of alleys including reconstruction of alley aprons that are not up to current CDOT standards.,150000,150000,1,03/28/2023,Approved,POINT (-87.68978 41.99422)
Pilsen Major Amendment Study,DPD,"Plans, Studies, and Administration",,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Redevelopment planning study for the TIF area for 12 year extension.,1750000,1750000,1,12/14/2021,Approved,POINT (-87.63245 41.88425)
Pulaski & Ainslie Traffic Signal,CDOT,Public Infrastructure,4860 North Pulaski Rd,Lawrence Pulaski,T-116,Lawrence Pulaski,T-116,Construction of new traffic signal,600000,600000,1,03/22/2022,Approved,POINT (-87.72808 41.96965)
3231 N Cicero Ave Pedestrian Improvement,CDOT,Public Infrastructure,3231 North Cicero Av,Belmont Cicero,T-082,Belmont Cicero,T-082,The project consists of installing pedestrian safety features including pedestrian refuge island and pavement markings on North Cicero Ave between W Belmont Ae and W School St.,300000,300000,1,01/24/2023,Approved,POINT (-87.7463 41.93935)
Chicago Avenue Streetscape (Humboldt Park IS/W Corridor),CDOT,Public Infrastructure,3200-4000  West Chicago Av,Chicago Central Park,T-115,Chicago Central Park,T-115,"ISW Corridor Streetscape consisting of infrastructure, pedestrian safety, and placemaking improvements with the goal of creating a unified, safe, and attractive commercial destination.",16380000,18200000,0.9,05/08/2023,Approved,POINT (-87.70673 41.89559)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Avalon Park South Shore,T-123,Avalon Park South Shore,T-123,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Complete Streets - North Side,CDOT,Public Infrastructure,,Clark Montrose,T-070,Clark Montrose,T-070,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",2560000,10690000,0.24,11/19/2024,On Hold,POINT (-87.63245 41.88425)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Lawrence Pulaski,T-116,Lawrence Pulaski,T-116,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1600000,1600000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
"Arterial Resurfacing Projects 87, 88, 89, & 90",CDOT,Public Infrastructure,Various,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,"Pavement resurfacing, ADA Ramp Improvements, Curb Extensions, Pedestrian Refuge Islands, and updated Pavement Markings.",185000,185000,1,04/07/2020,Approved,
TIF Works Funding Requests 2024,DPD,Economic Development,,Stevenson Brighton,T-149,Stevenson Brighton,T-149,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,500000,500000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
TIF Works Funding Requests 2024,DPD,Economic Development,,119th Halsted,T-114,119th Halsted,T-114,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,150000,150000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
Concrete Protected Bike Lanes - 2023,CDOT,Public Infrastructure,3200-3600  West Franklin Bv,Chicago Central Park,T-115,Chicago Central Park,T-115,Installation of concrete curb protected bike lanes.,270000,3932000,0.07,03/28/2023,Approved,POINT (-87.71624 41.89021)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,West Irving Park,T-083,West Irving Park,T-083,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",72206,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
McNair ES - BAS,CPS,Schools,4820 West Walton St,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"This school have an obsolete and failing Building Automation System that controls the environmental mechanical system in the buildings.Â  This project would include upgrading, repairing and re-certifying the system.",250000,250000,1,10/19/2021,Approved,POINT (-87.74649 41.89776)
Complete Streets - South Side,CDOT,Public Infrastructure,,79th Vincennes,T-155,79th Vincennes,T-155,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",250000,2390000,0.1,11/19/2024,Approved,POINT (-87.63245 41.88425)
Burke ES - Playground replacement,CPS,Schools,5356 S Dr Martin Luther King Jr Dr,47th State,T-136,47th State,T-136,Replace the playground with new poured-in-places surface and moderized play equipment to serve the student age population.,550000,550000,1,07/21/2020,Referred Back to Department,POINT (-87.61604 41.79706)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Lake Calumet,T-103,Lake Calumet,T-103,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",376250,376250,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Fire Prevention Building Improvements,2FM,Municipal Facilities,1010 South Clinton St,Jefferson Roosevelt,T-101,Jefferson Roosevelt,T-101,"Capital improvement project involving mechanical, life safety,and envelope and exterior improvements to the CFD FirePrevention Building.",1050000,1050000,1,08/27/2024,Approved,POINT (-87.64079 41.86945)
Western Avenue Analysis,DPD,"Plans, Studies, and Administration",4400-5200 North Western Av,Western Av North,T-084,Western Av North,T-084,"Develop a vision for the Western Avenue corridor and evaluate; density along the corridor, mixture of land uses, Western Avenue as a vital north/south arterial street, and the non-vehicular urban environment.",48000,48000,1,02/11/2020,Approved,POINT (-87.68904 41.9616)
Courtenay ES - Site Improvements,CPS,Schools,4420 N Beacon St,Clark/Montrose,T-070,Clark/Montrose,T-070,"Provide exterior improvements that will include a new artificial turf field with running track, two (2) new safe playlots for children 2-5 and 5-12 and a nature garden",2100000,2100000,1,05/25/2021,Approved,POINT (-87.66369 41.96209)
Winnemac Park Site Improvements,Park District,Parks and Open Spaces,5001 North Leavitt St,Western Av North,T-084,Western Av North,T-084,"Project includes an artificial turf infield and
grading/stormwater improvements,  refurbishment of the West tennis court with to include pickleball and DFA on the existing East tennis court.",2500000,2500000,1,09/27/2022,Approved,POINT (-87.68417 41.97244)
800 W Lake ARO FMID,DOH,Affordable Housing,800-816  West Lake St,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,"The proposed development with 406 dwelling units, 123 of which will be affordable rental units. TIF to assist financing of 41 of the 123 affordable rental units. Proposal to invest $213.4 million, roughly $564K/unit.",17100000,213414200,0.08,01/23/2024,Approved,POINT (-87.64766 41.88567)
CPS ADA Polling Locations - South Region Part 1,CPS,Schools,,67th Wentworth,T-174,67th Wentworth,T-174,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,117500,263600,1,07/27/2021,Referred Back to Department,POINT (-87.63245 41.88425)
Chicago Central City Framework Plan,DPD,"Plans, Studies, and Administration",,24th Michigan,T-072,24th Michigan,T-072,"Chicago Central City Framework Plan, to be aligned with We Will pillars and engagement.",29750,550000,0.5,06/28/2022,Approved,POINT (-87.63245 41.88425)
